"","ID","especie","ang_rii","aro_rii","cat_rii","diam_madeira_mm","vol_mad","peso_seco_madeira","peso_fresco_mad","peso_sat_mad","diam_casca","diam2_casca","vol_casca","peso_seco_casca","peso_fresco_casca","peso_sat_casca","H_arvore","diam_copa","dens_mad","dens_casca","cap_arm_mad","cap_arm_casca","cont_agua_mad","cont_agua_casca","efet_agua_mad","efet_agua_casca","thick_casca"
"47","60","mofumbo",-0.125873352,0.61219041,-0.125873352,12.7,1.77,1.25,1.79,2.07,0.1,0.4,0.18,0.14,0.2,0.32,2,2.4,0.706214689265537,0.777777777777778,0.656,1.28571428571429,0.432,0.428571428571428,0.658536585365854,0.333333333333333,0.25
"48","119","mofumbo",-0.01322045,0.108965746,0.383396657,18.7,4.4,3.49,5.11,5.37,1.2,0.7,0.31,0.2,0.34,0.47,5,3.6,0.793181818181818,0.645161290322581,0.538681948424069,1.35,0.464183381088825,0.7,0.861702127659575,0.518518518518519,0.95
"49","69","mororo",0.100799991,0.04008199,0.100799991,22.4,9.47,7.47,9.8,10.48,2.3,1.5,0.74,0.5,0.8,1.32,3.5,5.5,0.788806758183738,0.675675675675676,0.402945113788487,1.64,0.311914323962517,0.6,0.774086378737542,0.365853658536585,1.9
"50","79","mororo",0.385439482,0.005231313,0.385439482,22.7,10.16,8,10.4,11.14,0.3,0.6,0.96,0.58,0.93,1.56,5.5,2.7,0.78740157480315,0.604166666666667,0.3925,1.68965517241379,0.3,0.603448275862069,0.764331210191083,0.357142857142857,0.45
"51","93","mororo",0.1421292,0.060475713,0.1421292,15.4,2.56,2.05,2.67,2.98,0.1,0.5,0.11,0.09,0.12,0.23,3.5,2.75,0.80078125,0.818181818181818,0.453658536585366,1.55555555555556,0.302439024390244,0.333333333333333,0.666666666666667,0.214285714285714,0.3
"52","52","paubranco",0.27926726,-0.16587272,0.27926726,30.4,13.12,8.5,11.77,12.52,1.8,1.2,0.37,0.2,0.36,0.62,6,3.4,0.647865853658537,0.540540540540541,0.472941176470588,2.1,0.384705882352941,0.8,0.813432835820895,0.380952380952381,1.5
"53","28","paubranco",0.069836398,0.07537577,0.069836398,29.3,13.52,8.56,12.26,13.32,1.7,1.6,0.65,0.4,0.68,1.1,6.5,3,0.633136094674556,0.615384615384615,0.55607476635514,1.75,0.432242990654206,0.7,0.777310924369748,0.4,1.65
"54","110","paubranco",-0.159406564,-0.148696795,-0.159406564,32.2,10.02,6.65,9.46,10.37,1.4,1.7,0.54,0.37,0.62,1,4.5,2.4,0.663672654690619,0.685185185185185,0.559398496240601,1.7027027027027,0.422556390977444,0.675675675675676,0.755376344086022,0.396825396825397,1.55
"55","101","pereiro",0.30883055,-0.04808952,0.30883055,36.5,22.37,13.7,20.09,21.18,2.5,2.9,0.96,0.62,1.34,1.7,7.5,6.1,0.612427358068842,0.645833333333333,0.545985401459854,1.74193548387097,0.466423357664234,1.16129032258065,0.85427807486631,0.666666666666667,2.7
"56","129","pereiro",0.449616867,0.065416577,0.449616867,14.2,3.8,2.88,4.04,4.25,1.4,1.7,0.9,0.54,0.95,1.17,8,4.4,0.757894736842105,0.6,0.475694444444444,1.16666666666667,0.402777777777778,0.759259259259259,0.846715328467153,0.650793650793651,1.55
"57","147","pereiro",-0.15364442,0.146510658,-0.15364442,14.8,3.94,2.77,3.95,4.05,1.9,1.7,0.56,0.26,0.65,0.77,5,8.1,0.703045685279188,0.464285714285714,0.462093862815884,1.96153846153846,0.425992779783394,1.5,0.921875,0.764705882352941,1.8
"58","32","umbu",0.052032354,0.01297193,0.052032354,20.6,5.64,3.36,6.27,6.42,2.3,1.8,0.77,0.25,0.89,1.01,7.5,18.5,0.595744680851064,0.324675324675325,0.910714285714286,3.04,0.866071428571428,2.56,0.950980392156863,0.842105263157895,2.05
"59","115","umbu",0.137992084,-0.208687692,0.137992084,19.2,5.86,3.69,6.46,6.52,2.2,1.9,1.63,0.62,1.79,2.14,6.5,14.95,0.629692832764505,0.380368098159509,0.766937669376694,2.45161290322581,0.750677506775068,1.88709677419355,0.978798586572438,0.769736842105263,2.05
"60","143","umbu",0.104552092,0.075843288,0.104552092,38.1,19.3,9.78,20,20.29,3.6,2.7,2.12,0.68,2.31,2.83,9,14.9,0.506735751295337,0.320754716981132,1.07464212678937,3.16176470588235,1.04498977505112,2.39705882352941,0.972407231208373,0.758139534883721,3.15
