nurse,target,plot,rii_medf,rii_medalt
favelinha,cating,155,0.258893557400,0.258893557400
feijao,angico,24,0.095779220800,0.095779220800
feijao,angico,67,0.221233230100,0.221233230100
feijao,angico,75,0.336111111100,0.336111111100
feijao,angico,80,-0.065476190500,-0.065476190500
feijao,angico,134,-0.025000000000,-0.025000000000
feijao,aroeira,24,0.324862637400,0.324862637400
feijao,aroeira,67,0.131060606100,0.131060606100
feijao,aroeira,75,-0.285714285600,-0.285714285600
feijao,aroeira,80,-0.428663003800,-0.428663003800
feijao,aroeira,134,0.156655844100,0.156655844100
feijao,cating,24,0.095779220800,0.095779220800
feijao,cating,67,0.221233230100,0.221233230100
feijao,cating,75,0.336111111100,0.336111111100
feijao,cating,80,-0.065476190500,-0.065476190500
feijao,cating,134,-0.025000000000,-0.025000000000
imbiratanha,angico,27,-0.209523809500,-0.209523809500
imbiratanha,angico,73,0.523538961100,0.523538961100
imbiratanha,angico,78,0.116612554300,0.116612554300
imbiratanha,angico,150,-0.066964285800,-0.066964285800
imbiratanha,angico,160,-0.138888888900,-0.138888888900
imbiratanha,aroeira,27,-0.062071846100,-0.062071846100
imbiratanha,aroeira,73,0.274999999900,0.274999999900
imbiratanha,aroeira,78,-0.381250000000,-0.381250000000
imbiratanha,aroeira,150,-0.043611111100,-0.043611111100
imbiratanha,aroeira,160,-0.028834540900,-0.028834540900
imbiratanha,cating,27,-0.209523809500,-0.209523809500
imbiratanha,cating,73,0.523538961100,0.523538961100
imbiratanha,cating,78,0.116612554300,0.116612554300
imbiratanha,cating,150,-0.066964285800,-0.066964285800
imbiratanha,cating,160,-0.138888888900,-0.138888888900
imburana,angico,57,-0.269408369500,-0.269408369500
imburana,angico,74,-0.154040404000,-0.154040404000
imburana,angico,76,-0.343452380900,-0.343452380900
imburana,angico,151,0.196428571500,0.196428571500
imburana,angico,159,-0.225757575900,-0.225757575900
imburana,aroeira,57,0.118750000000,0.118750000000
imburana,aroeira,74,0.099906015000,0.099906015000
imburana,aroeira,76,-0.475541125500,-0.475541125500
imburana,aroeira,151,0.194179371400,0.194179371400
imburana,aroeira,159,0.069078947400,0.069078947400
imburana,cating,57,-0.269408369500,-0.269408369500
imburana,cating,74,-0.154040404000,-0.154040404000
imburana,cating,76,-0.343452380900,-0.343452380900
imburana,cating,151,0.196428571500,0.196428571500
imburana,cating,159,-0.225757575900,-0.225757575900
ipe,angico,34,0.047348484800,0.047348484800
ipe,angico,55,0.083333333300,0.083333333300
ipe,angico,112,-0.125000000000,-0.125000000000
ipe,angico,118,0.011904761900,0.011904761900
ipe,angico,132,0.025000000000,0.025000000000
ipe,aroeira,34,0.116071428600,0.116071428600
ipe,aroeira,55,0.091666666600,0.091666666600
ipe,aroeira,112,0.063888888900,0.063888888900
ipe,aroeira,118,-0.105835058500,-0.105835058500
ipe,aroeira,132,0.187175324800,0.187175324800
ipe,cating,34,0.047348484800,0.047348484800
ipe,cating,55,0.083333333300,0.083333333300
ipe,cating,112,-0.125000000000,-0.125000000000
ipe,cating,118,0.011904761900,0.011904761900
ipe,cating,132,0.025000000000,0.025000000000
jubranca,angico,19,-0.252976190400,-0.252976190400
jubranca,angico,46,0.179983660300,0.179983660300
jubranca,angico,56,0.000000000000,0.000000000000
jubranca,angico,68,0.234523809500,0.234523809500
jubranca,angico,70,-0.129166666600,-0.129166666600
jubranca,aroeira,19,-0.149300699400,-0.149300699400
jubranca,aroeira,46,0.073214285800,0.073214285800
jubranca,aroeira,56,0.483148604300,0.483148604300
jubranca,aroeira,68,0.223263403300,0.223263403300
jubranca,aroeira,70,0.068848814300,0.068848814300
jubranca,cating,19,-0.252976190400,-0.252976190400
jubranca,cating,46,0.179983660300,0.179983660300
jubranca,cating,56,0.000000000000,0.000000000000
jubranca,cating,68,0.234523809500,0.234523809500
jubranca,cating,70,-0.129166666600,-0.129166666600
juca,angico,130,-0.107142857300,-0.107142857300
juca,angico,136,0.203102453400,0.203102453400
juca,angico,139,0.380654761900,0.380654761900
juca,angico,145,-0.389136904800,-0.389136904800
juca,angico,148,0.168749999900,0.168749999900
juca,aroeira,130,-0.141027046800,-0.141027046800
juca,aroeira,136,-0.184166666600,-0.184166666600
juca,aroeira,139,-0.219782629800,-0.219782629800
juca,aroeira,145,-0.126388888900,-0.126388888900
juca,aroeira,148,-0.268541546100,-0.268541546100
juca,cating,130,-0.107142857300,-0.107142857300
juca,cating,136,0.203102453400,0.203102453400
juca,cating,139,0.380654761900,0.380654761900
juca,cating,145,-0.389136904800,-0.389136904800
juca,cating,148,0.168749999900,0.168749999900
jupreta,angico,20,0.250000000000,0.250000000000
jupreta,angico,22,0.387996031800,0.387996031800
jupreta,angico,98,-0.188228438300,-0.188228438300
jupreta,angico,125,-0.016666666600,-0.016666666600
jupreta,angico,126,0.150000000000,0.150000000000
