plot,espnurse,target,variable,crescf,cresca
72,marmeleiro,angico,ntaxa,-0.0975609756,-0.012195122
72,marmeleiro,cating,ntaxa,-0.0365853659,0.0975609756
72,marmeleiro,aroeira,ntaxa,-0.2073170732,-0.4024390244
62,mofumbo,angico,ntaxa,-0.0975609756,0.012195122
62,mofumbo,cating,ntaxa,-0.0333333333,0.0833333333
62,mofumbo,aroeira,ntaxa,-0.1341463415,0.1097560976
71,mofumbo,angico,ntaxa,-0.0731707317,-0.3658536585
71,mofumbo,cating,ntaxa,-0.0365853659,-0.012195122
71,mofumbo,aroeira,ntaxa,-0.3636363636,-1.3333333333
60,mofumbo,angico,ntaxa,-0.1585365854,-0.6463414634
60,mofumbo,cating,ntaxa,-0.0731707317,-0.2926829268
60,mofumbo,aroeira,ntaxa,-0.2051282051,-0.0769230769
137,mofumbo,angico,ntaxa,-0.15,0.0166666667
137,mofumbo,cating,ntaxa,-0.0487804878,-0.3048780488
137,mofumbo,aroeira,ntaxa,-0.1219512195,-0.4756097561
119,mofumbo,angico,ntaxa,-0.1733333333,-0.3333333333
119,mofumbo,cating,ntaxa,-0.12,-0.08
119,mofumbo,aroeira,ntaxa,-0.2666666667,0.0166666667
69,mororo,angico,ntaxa,-0.1585365854,0.0243902439
69,mororo,cating,ntaxa,-0.0487804878,0.0243902439
69,mororo,aroeira,ntaxa,-0.0975609756,-0.012195122
79,mororo,angico,ntaxa,-0.0487804878,-0.0243902439
79,mororo,cating,ntaxa,-0.0731707317,0
79,mororo,aroeira,ntaxa,-0.1219512195,0
84,mororo,angico,ntaxa,-0.0487804878,-0.012195122
84,mororo,cating,ntaxa,-0.0365853659,-0.3292682927
84,mororo,aroeira,ntaxa,-0.1463414634,-0.1707317073
152,mororo,angico,ntaxa,-0.1,-0.5333333333
152,mororo,cating,ntaxa,-0.0487804878,-0.3170731707
152,mororo,aroeira,ntaxa,-0.3333333333,-0.7948717949
93,mororo,angico,ntaxa,-0.2133333333,0
93,mororo,cating,ntaxa,-0.1166666667,-0.0833333333
93,mororo,aroeira,ntaxa,-0.0609756098,0.0365853659
52,paubranco,angico,ntaxa,-0.0975609756,-0.0243902439
52,paubranco,cating,ntaxa,-0.1097560976,0.0487804878
52,paubranco,aroeira,ntaxa,-0.1219512195,-0.012195122
28,paubranco,angico,ntaxa,-0.0487804878,-0.4390243902
28,paubranco,cating,ntaxa,-0.0487804878,0.012195122
28,paubranco,aroeira,ntaxa,-0.5151515152,0
110,paubranco,angico,ntaxa,-0.1463414634,0.012195122
110,paubranco,cating,ntaxa,-0.0243902439,0
110,paubranco,aroeira,ntaxa,-0.1585365854,-0.3902439024
33,paubranco,angico,ntaxa,-0.1097560976,-0.3414634146
33,paubranco,cating,ntaxa,-0.0266666667,-0.1333333333
33,paubranco,aroeira,ntaxa,-0.0303030303,-0.9696969697
146,paubranco,angico,ntaxa,-0.0365853659,-0.8170731707
146,paubranco,cating,ntaxa,-0.1875,-1.625
146,paubranco,aroeira,ntaxa,-0.2,-0.0666666667
101,pereiro,angico,ntaxa,-0.3076923077,0
101,pereiro,cating,ntaxa,-0.0609756098,-0.0365853659
101,pereiro,aroeira,ntaxa,-0.0975609756,-0.012195122
82,pereiro,angico,ntaxa,-0.1463414634,0
82,pereiro,cating,ntaxa,-0.012195122,-0.012195122
82,pereiro,aroeira,ntaxa,-0.1951219512,-0.012195122
66,pereiro,angico,ntaxa,-0.1219512195,-0.3536585366
66,pereiro,cating,ntaxa,-0.0365853659,0.0731707317
66,pereiro,aroeira,ntaxa,-0.1066666667,0.0133333333
129,pereiro,angico,ntaxa,-0.1097560976,-0.0243902439
129,pereiro,cating,ntaxa,-0.0731707317,-0.012195122
129,pereiro,aroeira,ntaxa,-0.1219512195,0.012195122
147,pereiro,angico,ntaxa,-0.0853658537,0
147,pereiro,cating,ntaxa,-0.0243902439,0.012195122
147,pereiro,aroeira,ntaxa,-0.1341463415,-0.0365853659
32,umbu,angico,ntaxa,-0.1097560976,0.012195122
32,umbu,cating,ntaxa,-0.0365853659,0.012195122
32,umbu,aroeira,ntaxa,-0.0975609756,0.0487804878
115,umbu,angico,ntaxa,-0.2073170732,0.0487804878
115,umbu,cating,ntaxa,-0.0243902439,-0.012195122
115,umbu,aroeira,ntaxa,-0.0853658537,0
158,umbu,angico,ntaxa,-0.0975609756,-0.0243902439
158,umbu,cating,ntaxa,-0.0365853659,-0.3170731707
158,umbu,aroeira,ntaxa,-0.1341463415,-0.0243902439
141,umbu,angico,ntaxa,-0.1466666667,-0.56
141,umbu,cating,ntaxa,-0.0365853659,0
141,umbu,aroeira,ntaxa,-0.12,-0.0133333333
143,umbu,angico,ntaxa,-0.1585365854,0.012195122
143,umbu,cating,ntaxa,-0.0243902439,-0.0853658537
143,umbu,aroeira,ntaxa,-0.1341463415,-0.1341463415
38,angico,angico,taxa,-0.1219512195,0.012195122
38,angico,cating,taxa,-0.0243902439,-0.012195122
38,angico,aroeira,taxa,-0.0853658537,0.012195122
111,angico,angico,taxa,-0.0609756098,0
