id,nurse,target,tempo,var,indice,value
25,marmeleiro,aroeira,temp1,folha,RII,0.1304347826
48,marmeleiro,angico,temp1,folha,RII,-0.2857142857
48,marmeleiro,cating,temp1,folha,RII,-0.25
48,marmeleiro,aroeira,temp1,folha,RII,-0.0833333333
51,marmeleiro,angico,temp1,folha,RII,-0.3142857143
51,marmeleiro,cating,temp1,folha,RII,-0.1428571429
51,marmeleiro,aroeira,temp1,folha,RII,0
61,marmeleiro,angico,temp1,folha,RII,0.0434782609
61,marmeleiro,cating,temp1,folha,RII,0.0909090909
61,marmeleiro,aroeira,temp1,folha,RII,0.2
72,marmeleiro,angico,temp1,folha,RII,0.2
72,marmeleiro,cating,temp1,folha,RII,-0.2727272727
72,marmeleiro,aroeira,temp1,folha,RII,0.3076923077
62,mofumbo,angico,temp1,folha,RII,0.8
62,mofumbo,cating,temp1,folha,RII,0.2
62,mofumbo,aroeira,temp1,folha,RII,0.0909090909
71,mofumbo,angico,temp1,folha,RII,-0.0769230769
71,mofumbo,cating,temp1,folha,RII,0
71,mofumbo,aroeira,temp1,folha,RII,0.0434782609
60,mofumbo,angico,temp1,folha,RII,-0.3157894737
60,mofumbo,cating,temp1,folha,RII,0.0909090909
60,mofumbo,aroeira,temp1,folha,RII,-0.2173913043
137,mofumbo,angico,temp1,folha,RII,0.0526315789
137,mofumbo,cating,temp1,folha,RII,0
137,mofumbo,aroeira,temp1,folha,RII,0.0526315789
119,mofumbo,angico,temp1,folha,RII,0.5294117647
119,mofumbo,cating,temp1,folha,RII,0.1428571429
119,mofumbo,aroeira,temp1,folha,RII,0.2592592593
69,mororo,angico,temp1,folha,RII,0.6470588235
69,mororo,cating,temp1,folha,RII,0.4285714286
69,mororo,aroeira,temp1,folha,RII,-0.1818181818
79,mororo,angico,temp1,folha,RII,-0.1666666667
79,mororo,cating,temp1,folha,RII,0.1666666667
79,mororo,aroeira,temp1,folha,RII,0.1428571429
84,mororo,angico,temp1,folha,RII,0
84,mororo,cating,temp1,folha,RII,-0.25
84,mororo,aroeira,temp1,folha,RII,0
152,mororo,angico,temp1,folha,RII,-0.2941176471
152,mororo,cating,temp1,folha,RII,-0.2727272727
152,mororo,aroeira,temp1,folha,RII,0.1304347826
93,mororo,angico,temp1,folha,RII,0.4782608696
93,mororo,cating,temp1,folha,RII,0.0666666667
93,mororo,aroeira,temp1,folha,RII,-0.1764705882
52,paubranco,angico,temp1,folha,RII,-0.1428571429
52,paubranco,cating,temp1,folha,RII,0.3333333333
52,paubranco,aroeira,temp1,folha,RII,0
28,paubranco,angico,temp1,folha,RII,0.6
28,paubranco,cating,temp1,folha,RII,0.25
28,paubranco,aroeira,temp1,folha,RII,0.2857142857
110,paubranco,angico,temp1,folha,RII,0.0833333333
110,paubranco,cating,temp1,folha,RII,0
110,paubranco,aroeira,temp1,folha,RII,0.0833333333
33,paubranco,angico,temp1,folha,RII,0.2
33,paubranco,cating,temp1,folha,RII,-0.1428571429
33,paubranco,aroeira,temp1,folha,RII,-0.9090909091
146,paubranco,angico,temp1,folha,RII,0.724137931
146,paubranco,cating,temp1,folha,RII,-0.1428571429
146,paubranco,aroeira,temp1,folha,RII,0.1818181818
101,pereiro,angico,temp1,folha,RII,0.1818181818
101,pereiro,cating,temp1,folha,RII,0.2
101,pereiro,aroeira,temp1,folha,RII,-0.1
82,pereiro,angico,temp1,folha,RII,0.0833333333
82,pereiro,cating,temp1,folha,RII,-0.4285714286
82,pereiro,aroeira,temp1,folha,RII,-0.0810810811
66,pereiro,angico,temp1,folha,RII,0.1764705882
66,pereiro,cating,temp1,folha,RII,-0.1111111111
66,pereiro,aroeira,temp1,folha,RII,0
129,pereiro,angico,temp1,folha,RII,0.1111111111
129,pereiro,cating,temp1,folha,RII,0.1666666667
129,pereiro,aroeira,temp1,folha,RII,0.0434782609
147,pereiro,angico,temp1,folha,RII,-0.36
147,pereiro,cating,temp1,folha,RII,-0.25
147,pereiro,aroeira,temp1,folha,RII,0.2631578947
32,umbu,angico,temp1,folha,RII,-0.0476190476
32,umbu,cating,temp1,folha,RII,-0.2
32,umbu,aroeira,temp1,folha,RII,-0.2173913043
115,umbu,angico,temp1,folha,RII,0.3846153846
115,umbu,cating,temp1,folha,RII,0
115,umbu,aroeira,temp1,folha,RII,-0.2380952381
158,umbu,angico,temp1,folha,RII,0.0588235294
158,umbu,cating,temp1,folha,RII,0
158,umbu,aroeira,temp1,folha,RII,0.0434782609
141,umbu,angico,temp1,folha,RII,0.5714285714
141,umbu,cating,temp1,folha,RII,0.1428571429
141,umbu,aroeira,temp1,folha,RII,-0.1304347826
143,umbu,angico,temp1,folha,RII,0.2727272727
143,umbu,cating,temp1,folha,RII,-0.1428571429
143,umbu,aroeira,temp1,folha,RII,0.0434782609
38,angico,angico,temp1,altura,RII,0.1384615385
38,angico,cating,temp1,altura,RII,-0.2307692308
38,angico,aroeira,temp1,altura,RII,-0.1428571429
111,angico,angico,temp1,altura,RII,0.5466666667
111,angico,cating,temp1,altura,RII,-0.3698630137
111,angico,aroeira,temp1,altura,RII,-0.2333333333
58,angico,angico,temp1,altura,RII,-0.0392156863
58,angico,cating,temp1,altura,RII,-0.0144927536
58,angico,aroeira,temp1,altura,RII,0.012345679
85,angico,angico,temp1,altura,RII,0.3432835821
85,angico,cating,temp1,altura,RII,0.4615384615
85,angico,aroeira,temp1,altura,RII,0.0144927536
144,angico,angico,temp1,altura,RII,0.0746268657
144,angico,cating,temp1,altura,RII,0.1666666667
144,angico,aroeira,temp1,altura,RII,0.0724637681
113,algodao,angico,temp1,altura,RII,-0.4252873563
113,algodao,cating,temp1,altura,RII,0.037037037
113,algodao,aroeira,temp1,altura,RII,0.1578947368
123,algodao,angico,temp1,altura,RII,0.0149253731
123,algodao,cating,temp1,altura,RII,0.1304347826
123,algodao,aroeira,temp1,altura,RII,-0.0606060606
122,algodao,angico,temp1,altura,RII,0.1714285714
122,algodao,cating,temp1,altura,RII,0.0588235294
122,algodao,aroeira,temp1,altura,RII,0.1384615385
156,algodao,angico,temp1,altura,RII,-0.0333333333
156,algodao,cating,temp1,altura,RII,0.2888888889
156,algodao,aroeira,temp1,altura,RII,-0.0491803279
157,algodao,angico,temp1,altura,RII,0.3
157,algodao,cating,temp1,altura,RII,-0.16
157,algodao,aroeira,temp1,altura,RII,0.0136986301
41,burra,angico,temp1,altura,RII,0.2537313433
41,burra,cating,temp1,altura,RII,-0.0153846154
41,burra,aroeira,temp1,altura,RII,0.03125
102,burra,angico,temp1,altura,RII,0.2272727273
102,burra,cating,temp1,altura,RII,-0.014084507
102,burra,aroeira,temp1,altura,RII,0.2615384615
81,burra,angico,temp1,altura,RII,-0.1481481481
81,burra,cating,temp1,altura,RII,0.1052631579
81,burra,aroeira,temp1,altura,RII,0.0909090909
88,burra,angico,temp1,altura,RII,0.2333333333
88,burra,cating,temp1,altura,RII,0.3043478261
88,burra,aroeira,temp1,altura,RII,-0.04
128,burra,angico,temp1,altura,RII,0.0731707317
128,burra,cating,temp1,altura,RII,0.1428571429
128,burra,aroeira,temp1,altura,RII,0.0684931507
30,catanduva,angico,temp1,altura,RII,-0.2830188679
30,catanduva,cating,temp1,altura,RII,0.0188679245
30,catanduva,aroeira,temp1,altura,RII,0.0352941176
43,catanduva,angico,temp1,altura,RII,0.1538461538
43,catanduva,cating,temp1,altura,RII,-0.3636363636
43,catanduva,aroeira,temp1,altura,RII,0.2876712329
108,catanduva,angico,temp1,altura,RII,0.1481481481
108,catanduva,cating,temp1,altura,RII,0.1020408163
108,catanduva,aroeira,temp1,altura,RII,-0.0303030303
65,catanduva,angico,temp1,altura,RII,-0.0153846154
65,catanduva,cating,temp1,altura,RII,0.24
65,catanduva,aroeira,temp1,altura,RII,0.1139240506
131,catanduva,angico,temp1,altura,RII,0.0545454545
131,catanduva,cating,temp1,altura,RII,0
131,catanduva,aroeira,temp1,altura,RII,-0.0833333333
21,catingueira,angico,temp1,altura,RII,0.164556962
21,catingueira,cating,temp1,altura,RII,-0.1
21,catingueira,aroeira,temp1,altura,RII,0.1549295775
35,catingueira,angico,temp1,altura,RII,0.2195121951
35,catingueira,cating,temp1,altura,RII,-0.1084337349
35,catingueira,aroeira,temp1,altura,RII,-0.2173913043
64,catingueira,angico,temp1,altura,RII,0.1071428571
64,catingueira,cating,temp1,altura,RII,-0.3333333333
64,catingueira,aroeira,temp1,altura,RII,0.2571428571
95,catingueira,angico,temp1,altura,RII,0
95,catingueira,cating,temp1,altura,RII,0
95,catingueira,aroeira,temp1,altura,RII,-0.0540540541
127,catingueira,angico,temp1,altura,RII,-0.2054794521
127,catingueira,cating,temp1,altura,RII,-0.0196078431
127,catingueira,aroeira,temp1,altura,RII,-0.1304347826
97,cumaru,angico,temp1,altura,RII,-0.1058823529
97,cumaru,cating,temp1,altura,RII,0
97,cumaru,aroeira,temp1,altura,RII,0.03125
149,cumaru,angico,temp1,altura,RII,0.4117647059
149,cumaru,cating,temp1,altura,RII,-0.12
149,cumaru,aroeira,temp1,altura,RII,-0.027027027
100,cumaru,angico,temp1,altura,RII,-0.1666666667
100,cumaru,cating,temp1,altura,RII,0
100,cumaru,aroeira,temp1,altura,RII,0.0149253731
53,cumaru,angico,temp1,altura,RII,-0.1224489796
53,cumaru,cating,temp1,altura,RII,0.1333333333
53,cumaru,aroeira,temp1,altura,RII,-0.0819672131
23,cumaru,angico,temp1,altura,RII,0.0333333333
23,cumaru,cating,temp1,altura,RII,-0.1379310345
23,cumaru,aroeira,temp1,altura,RII,-0.0136986301
138,favelinha,angico,temp1,altura,RII,0.0952380952
138,favelinha,cating,temp1,altura,RII,-0.2087912088
138,favelinha,aroeira,temp1,altura,RII,-0.0508474576
124,favelinha,angico,temp1,altura,RII,0.2444444444
124,favelinha,cating,temp1,altura,RII,-0.0666666667
124,favelinha,aroeira,temp1,altura,RII,0.0689655172
153,favelinha,angico,temp1,altura,RII,0.2881355932
153,favelinha,cating,temp1,altura,RII,0.1272727273
153,favelinha,aroeira,temp1,altura,RII,0.1388888889
154,favelinha,angico,temp1,altura,RII,0.1142857143
154,favelinha,cating,temp1,altura,RII,0.0476190476
154,favelinha,aroeira,temp1,altura,RII,0.09375
155,favelinha,angico,temp1,altura,RII,-0.3170731707
155,favelinha,cating,temp1,altura,RII,0.1578947368
155,favelinha,aroeira,temp1,altura,RII,0.1142857143
24,feijao,angico,temp1,altura,RII,-0.1641791045
24,feijao,cating,temp1,altura,RII,0.2156862745
24,feijao,aroeira,temp1,altura,RII,0.0117647059
67,feijao,angico,temp1,altura,RII,-0.0322580645
67,feijao,cating,temp1,altura,RII,0.2631578947
67,feijao,aroeira,temp1,altura,RII,0.0158730159
75,feijao,angico,temp1,altura,RII,0.1475409836
75,feijao,cating,temp1,altura,RII,0.0163934426
75,feijao,aroeira,temp1,altura,RII,0
80,feijao,angico,temp1,altura,RII,-0.3548387097
80,feijao,cating,temp1,altura,RII,0.16
80,feijao,aroeira,temp1,altura,RII,0.1320754717
134,feijao,angico,temp1,altura,RII,-0.0461538462
134,feijao,cating,temp1,altura,RII,0.2888888889
134,feijao,aroeira,temp1,altura,RII,-0.0491803279
27,imbiratanha,angico,temp1,altura,RII,0.125
27,imbiratanha,cating,temp1,altura,RII,0.0714285714
27,imbiratanha,aroeira,temp1,altura,RII,0.0434782609
150,imbiratanha,angico,temp1,altura,RII,0.0566037736
150,imbiratanha,cating,temp1,altura,RII,0.0357142857
150,imbiratanha,aroeira,temp1,altura,RII,-0.0508474576
73,imbiratanha,angico,temp1,altura,RII,0.2054794521
73,imbiratanha,cating,temp1,altura,RII,-0.3888888889
73,imbiratanha,aroeira,temp1,altura,RII,0.1466666667
78,imbiratanha,angico,temp1,altura,RII,-0.1707317073
78,imbiratanha,cating,temp1,altura,RII,-0.0769230769
78,imbiratanha,aroeira,temp1,altura,RII,-0.1232876712
160,imbiratanha,angico,temp1,altura,RII,-0.1475409836
160,imbiratanha,cating,temp1,altura,RII,0
160,imbiratanha,aroeira,temp1,altura,RII,0.15625
57,imburana,angico,temp1,altura,RII,0
57,imburana,cating,temp1,altura,RII,0.1481481481
57,imburana,aroeira,temp1,altura,RII,-0.0967741935
151,imburana,angico,temp1,altura,RII,0.04
151,imburana,cating,temp1,altura,RII,0.3220338983
151,imburana,aroeira,temp1,altura,RII,0.0769230769
74,imburana,angico,temp1,altura,RII,-0.0746268657
74,imburana,cating,temp1,altura,RII,-0.1219512195
74,imburana,aroeira,temp1,altura,RII,-0.1025641026
76,imburana,angico,temp1,altura,RII,-0.1428571429
76,imburana,cating,temp1,altura,RII,0.2244897959
76,imburana,aroeira,temp1,altura,RII,0.025
159,imburana,angico,temp1,altura,RII,0
159,imburana,cating,temp1,altura,RII,-0.1071428571
159,imburana,aroeira,temp1,altura,RII,-0.0833333333
34,ipe,angico,temp1,altura,RII,-0.137254902
34,ipe,cating,temp1,altura,RII,-0.1851851852
34,ipe,aroeira,temp1,altura,RII,-0.0512820513
112,ipe,angico,temp1,altura,RII,-0.0476190476
112,ipe,cating,temp1,altura,RII,0.2
112,ipe,aroeira,temp1,altura,RII,0.03125
55,ipe,angico,temp1,altura,RII,0.03125
55,ipe,cating,temp1,altura,RII,-0.2363636364
55,ipe,aroeira,temp1,altura,RII,-0.2112676056
132,ipe,angico,temp1,altura,RII,0
132,ipe,cating,temp1,altura,RII,-0.2380952381
132,ipe,aroeira,temp1,altura,RII,-0.1388888889
118,ipe,angico,temp1,altura,RII,-0.0642201835
118,ipe,cating,temp1,altura,RII,0
118,ipe,aroeira,temp1,altura,RII,0.0120481928
130,juca,angico,temp1,altura,RII,-0.1948051948
130,juca,cating,temp1,altura,RII,-0.275862069
130,juca,aroeira,temp1,altura,RII,-0.1714285714
136,juca,angico,temp1,altura,RII,-0.0476190476
136,juca,cating,temp1,altura,RII,0.1692307692
136,juca,aroeira,temp1,altura,RII,-0.075
139,juca,angico,temp1,altura,RII,-0.0153846154
139,juca,cating,temp1,altura,RII,0.04
139,juca,aroeira,temp1,altura,RII,0.0540540541
145,juca,angico,temp1,altura,RII,0.0163934426
145,juca,cating,temp1,altura,RII,-0.1153846154
145,juca,aroeira,temp1,altura,RII,0.1282051282
148,juca,angico,temp1,altura,RII,-0.1923076923
148,juca,cating,temp1,altura,RII,-0.1714285714
148,juca,aroeira,temp1,altura,RII,0.2058823529
46,jubranca,angico,temp1,altura,RII,-0.010989011
46,jubranca,cating,temp1,altura,RII,0
46,jubranca,aroeira,temp1,altura,RII,-0.037037037
19,jubranca,angico,temp1,altura,RII,0.0731707317
19,jubranca,cating,temp1,altura,RII,-0.3939393939
19,jubranca,aroeira,temp1,altura,RII,0
56,jubranca,angico,temp1,altura,RII,-0.0985915493
56,jubranca,cating,temp1,altura,RII,-0.0588235294
56,jubranca,aroeira,temp1,altura,RII,-0.04
70,jubranca,angico,temp1,altura,RII,0.3
70,jubranca,cating,temp1,altura,RII,0.25
70,jubranca,aroeira,temp1,altura,RII,-0.1578947368
68,jubranca,angico,temp1,altura,RII,-0.1733333333
68,jubranca,cating,temp1,altura,RII,0.2592592593
