plot,nurse,target,tempo,altura,folha
25,marmeleiro,angico,temp9,-1,-1
25,marmeleiro,aroeira,temp1,-0.0422535211,0.1304347826
25,marmeleiro,aroeira,temp2,-0.014084507,0
25,marmeleiro,aroeira,temp3,-0.0285714286,0.1111111111
25,marmeleiro,aroeira,temp4,-0.0285714286,-0.7777777778
25,marmeleiro,aroeira,temp5,0.7894736842,-0.3333333333
25,marmeleiro,aroeira,temp6,-0.014084507,-0.3333333333
25,marmeleiro,aroeira,temp7,-0.0422535211,-0.3333333333
25,marmeleiro,aroeira,temp8,-0.014084507,-0.3333333333
25,marmeleiro,aroeira,temp9,0,-0.014084507
25,marmeleiro,cating,temp1,0,0
25,marmeleiro,cating,temp2,0.0588235294,0
25,marmeleiro,cating,temp3,0.0740740741,0
25,marmeleiro,cating,temp4,-0.0188679245,-0.1111111111
25,marmeleiro,cating,temp5,-0.0181818182,0.4285714286
25,marmeleiro,cating,temp6,-0.0188679245,0.5
25,marmeleiro,cating,temp7,0,0.3333333333
25,marmeleiro,cating,temp8,0,-0.3333333333
25,marmeleiro,cating,temp9,0,-0.0188679245
27,imbiratanha,angico,temp1,0.125,-0.0526315789
27,imbiratanha,angico,temp2,0.1111111111,-0.2
27,imbiratanha,angico,temp3,0.1076923077,0.3333333333
27,imbiratanha,angico,temp4,0.0909090909,0.6
27,imbiratanha,angico,temp5,0.1044776119,0
27,imbiratanha,angico,temp6,0.0909090909,0
27,imbiratanha,angico,temp7,0.1044776119,0
27,imbiratanha,angico,temp8,0.1428571429,0
27,imbiratanha,angico,temp9,0,0.0909090909
27,imbiratanha,aroeira,temp1,0.0434782609,0.0476190476
27,imbiratanha,aroeira,temp2,-0.0158730159,0.0476190476
27,imbiratanha,aroeira,temp3,0.0149253731,0.0526315789
27,imbiratanha,aroeira,temp4,0,-0.1111111111
27,imbiratanha,aroeira,temp5,0.0149253731,0.1428571429
27,imbiratanha,aroeira,temp6,0.0144927536,0
27,imbiratanha,aroeira,temp7,0,-0.2
27,imbiratanha,aroeira,temp8,0.0144927536,0
27,imbiratanha,aroeira,temp9,-0.3333333333,0.0294117647
27,imbiratanha,cating,temp1,0.0714285714,-0.3333333333
27,imbiratanha,cating,temp2,0,-0.1428571429
27,imbiratanha,cating,temp3,0.0526315789,-0.2
27,imbiratanha,cating,temp4,0.0175438596,-0.5
27,imbiratanha,cating,temp5,0.0566037736,-0.5
27,imbiratanha,cating,temp6,0.0740740741,-0.5
27,imbiratanha,cating,temp7,0.0545454545,0
27,imbiratanha,cating,temp8,0.0175438596,0
27,imbiratanha,cating,temp9,0,0.0526315789
