plot	nurse	target	tempo	altura_imp	altura_rii	folhas_imp	folhas_rii
58	angico	cating	1	-0.027027027	-0.014492754	0.375	0.428571429
58	angico	cating	2	-0.102564103	-0.060606061	0	0
58	angico	cating	3	-0.05	-0.03030303	0	0
58	angico	cating	4	-0.051282051	-0.03030303	-0.2	-0.5
58	angico	cating	6	-0.057142857	-0.029411765	0	0
58	angico	cating	7	-0.081081081	-0.044776119	0	0
58	angico	cating	8	-0.054054054	-0.029411765	0	0
58	angico	cating	9	-0.1	-0.060606061	0	0
85	angico	angico	1	0.296296296	0.461538462	0	0
85	angico	angico	2	0.272727273	0.428571429	0	0
85	angico	angico	3	0.243589744	0.422222222	-0.272727273	-0.428571429
85	angico	angico	4	0.278481013	0.44	-0.25	-0.25
85	angico	angico	6	0.283783784	0.411764706	0.285714286	0.5
85	angico	angico	7	0.276315789	0.428571429	0.047619048	0.333333333
85	angico	angico	8	0.282051282	0.44	0	0
85	angico	angico	9	0.263157895	0.4	0	0
85	angico	aroeira	1	0.071428571	0.014492754	-0.333333333	-0.181818182
85	angico	aroeira	2	-0.125	-0.03125	-0.176470588	-0.130434783
85	angico	aroeira	3	-0.391304348	-0.152542373	-0.052631579	-0.2
85	angico	aroeira	4	0.0625	0.014925373	-0.142857143	-0.111111111
85	angico	aroeira	6	-0.363636364	-0.137931034	-0.285714286	-0.5
85	angico	aroeira	7	-0.380952381	-0.133333333	-0.166666667	-0.333333333
85	angico	aroeira	8	-0.363636364	-0.133333333	-0.125	-0.333333333
85	angico	aroeira	9	-0.1	-0.056603774	0	0
85	angico	cating	1	0.296296296	0.461538462	0	0
85	angico	cating	2	0.272727273	0.428571429	0	0
85	angico	cating	3	0.243589744	0.422222222	-0.272727273	-0.428571429
85	angico	cating	4	0.278481013	0.44	-0.25	-0.25
85	angico	cating	6	0.283783784	0.411764706	0.285714286	0.5
85	angico	cating	7	0.276315789	0.428571429	0.047619048	0.333333333
85	angico	cating	8	0.282051282	0.44	0	0
85	angico	cating	9	0.263157895	0.4	0	0
111	angico	angico	1	-0.5625	-0.369863014	-0.272727273	-0.333333333
111	angico	angico	2	-0.041666667	-0.010752688	-0.071428571	-0.142857143
111	angico	angico	3	-0.434782609	-0.277777778	-0.333333333	-0.666666667
111	angico	angico	4	-0.477272727	-0.28	0	0
111	angico	angico	6	-0.487804878	-0.27027027	0	0
111	angico	angico	7	-0.488372093	-0.287671233	0	0
111	angico	angico	8	-0.476744186	-0.275167785	0	0
111	angico	angico	9	-0.431818182	-0.260273973	0	0
111	angico	aroeira	1	-0.583333333	-0.233333333	0.090909091	0.043478261
111	angico	aroeira	2	-0.590909091	-0.206349206	0.058823529	0.043478261
111	angico	aroeira	3	-0.565217391	-0.206349206	-0.058823529	-0.111111111
