id,nurse,target,indice,var,media_tempo
81,burra,cating,RII,folha,-0.1025525526
82,pereiro,angico,RII,altura,0.0192687593
82,pereiro,angico,RII,folha,0.1146579517
82,pereiro,aroeira,RII,altura,0.0412612613
82,pereiro,aroeira,RII,folha,0.2514590678
82,pereiro,cating,RII,altura,0.1444799659
82,pereiro,cating,RII,folha,-0.0690476191
84,mororo,angico,RII,altura,0.0008347596
84,mororo,angico,RII,folha,-0.0605769231
84,mororo,aroeira,RII,altura,-0.0693498533
84,mororo,aroeira,RII,folha,-0.0410033168
84,mororo,cating,RII,altura,-0.066136867
84,mororo,cating,RII,folha,-0.4625
85,angico,angico,RII,altura,0.5169072786
85,angico,angico,RII,folha,0.1194444445
85,angico,aroeira,RII,altura,-0.0698714934
85,angico,aroeira,RII,folha,-0.2308293145
85,angico,cating,RII,altura,0.3790835309
85,angico,cating,RII,folha,0.0693452381
88,burra,angico,RII,altura,0.2180805708
88,burra,angico,RII,folha,-0.082759042
88,burra,aroeira,RII,altura,-0.0439689004
88,burra,aroeira,RII,folha,0.0748160173
88,burra,cating,RII,altura,0.2846963423
88,burra,cating,RII,folha,-0.0069444444
93,mororo,angico,RII,altura,0.4324022891
93,mororo,angico,RII,folha,0.468115942
93,mororo,aroeira,RII,altura,-0.0498118792
93,mororo,aroeira,RII,folha,0.1707633053
93,mororo,cating,RII,altura,0.2823567306
93,mororo,cating,RII,folha,0.0019016698
95,catingueira,angico,RII,altura,0.0581776433
95,catingueira,angico,RII,folha,0.0249734922
95,catingueira,aroeira,RII,altura,0.0084266076
95,catingueira,aroeira,RII,folha,0.2072222222
95,catingueira,cating,RII,altura,-0.013413506
95,catingueira,cating,RII,folha,0.1041666667
97,cumaru,angico,RII,altura,-0.1327916053
97,cumaru,angico,RII,folha,0.1692835366
97,cumaru,aroeira,RII,altura,0.1290044828
97,cumaru,aroeira,RII,folha,0.309570802
97,cumaru,cating,RII,altura,0.1683522819
97,cumaru,cating,RII,folha,0.2952380953
98,jupreta,angico,RII,altura,0.2883071469
98,jupreta,angico,RII,folha,-0.1585924586
98,jupreta,aroeira,RII,altura,0.0511427876
98,jupreta,aroeira,RII,folha,-0.0786064426
98,jupreta,cating,RII,altura,-0.4464160271
98,jupreta,cating,RII,folha,-0.2520582255
100,cumaru,angico,RII,altura,0.4153871699
100,cumaru,angico,RII,folha,0.5663377193
100,cumaru,aroeira,RII,altura,-0.362113797
100,cumaru,aroeira,RII,folha,-0.2770206767
100,cumaru,cating,RII,altura,-0.0019713913
100,cumaru,cating,RII,folha,-0.1446969697
101,pereiro,angico,RII,altura,-0.0167969052
101,pereiro,angico,RII,folha,0.1355873421
101,pereiro,aroeira,RII,altura,-0.0266936787
101,pereiro,aroeira,RII,folha,-0.0694853572
101,pereiro,cating,RII,altura,0.1015896749
101,pereiro,cating,RII,folha,0.5160714286
102,burra,angico,RII,altura,0.1967514383
102,burra,angico,RII,folha,0.0443753344
102,burra,aroeira,RII,altura,0.0527440998
102,burra,aroeira,RII,folha,-0.3170383987
102,burra,cating,RII,altura,0.0835218094
102,burra,cating,RII,folha,-0.1452850877
108,catanduva,angico,RII,altura,0.6750984582
108,catanduva,angico,RII,folha,0.4557372291
108,catanduva,aroeira,RII,altura,0.0332026118
108,catanduva,aroeira,RII,folha,-0.1044156567
108,catanduva,cating,RII,altura,0.4338184763
108,catanduva,cating,RII,folha,0.4375
110,paubranco,angico,RII,altura,0.1415118198
110,paubranco,angico,RII,folha,0.008211927
110,paubranco,aroeira,RII,altura,-0.0998058712
110,paubranco,aroeira,RII,folha,-0.1975877193
110,paubranco,cating,RII,altura,-0.3204797941
110,paubranco,cating,RII,folha,0.0016666667
111,angico,angico,RII,altura,0.4684598735
111,angico,angico,RII,folha,-0.0373484849
111,angico,aroeira,RII,altura,-0.2944348703
111,angico,aroeira,RII,folha,-0.3509359903
111,angico,cating,RII,altura,-0.221437846
111,angico,cating,RII,folha,-0.1753913894
112,ipe,angico,RII,altura,0.3464934043
112,ipe,angico,RII,folha,0.2986111111
112,ipe,aroeira,RII,altura,0.0429968863
112,ipe,aroeira,RII,folha,0.0951388889
112,ipe,cating,RII,altura,0.0500646801
112,ipe,cating,RII,folha,-0.125
113,algodao,angico,RII,altura,0.0389747163
113,algodao,angico,RII,folha,0.2003968254
113,algodao,aroeira,RII,altura,0.2588958502
113,algodao,aroeira,RII,folha,0.2457264957
113,algodao,cating,RII,altura,0.0304906222
113,algodao,cating,RII,folha,0.1334842326
115,umbu,angico,RII,altura,-0.1151437903
115,umbu,angico,RII,folha,0.1748724796
115,umbu,aroeira,RII,altura,-0.1507015972
115,umbu,aroeira,RII,folha,-0.2666737867
115,umbu,cating,RII,altura,0.0676508341
115,umbu,cating,RII,folha,0.2083333333
118,ipe,angico,RII,altura,-0.0377888666
118,ipe,angico,RII,folha,0.2005775577
118,ipe,aroeira,RII,altura,-0.0329743442
118,ipe,aroeira,RII,folha,-0.1122453151
118,ipe,cating,RII,altura,0.0593253968
118,ipe,cating,RII,folha,-0.0505952381
119,mofumbo,angico,RII,altura,-0.2152315304
119,mofumbo,angico,RII,folha,-0.0675647882
119,mofumbo,aroeira,RII,altura,0.108358935
119,mofumbo,aroeira,RII,folha,0.1095725578
119,mofumbo,cating,RII,altura,0.4156028369
119,mofumbo,cating,RII,folha,0.3511904762
122,algodao,angico,RII,altura,0.1584580754
122,algodao,angico,RII,folha,0.1175212278
122,algodao,aroeira,RII,altura,0.111431491
122,algodao,aroeira,RII,folha,-0.1402777778
122,algodao,cating,RII,altura,-0.0227272315
122,algodao,cating,RII,folha,-0.0471254356
123,algodao,angico,RII,altura,0.41149095
123,algodao,angico,RII,folha,0.3361111111
123,algodao,aroeira,RII,altura,-0.0771403053
123,algodao,aroeira,RII,folha,0.1066729323
123,algodao,cating,RII,altura,0.029971969
123,algodao,cating,RII,folha,0.060218254
124,favelinha,angico,RII,altura,0.7061634583
124,favelinha,angico,RII,folha,0.6071428571
124,favelinha,aroeira,RII,altura,0.0550331593
124,favelinha,aroeira,RII,folha,-0.2365460526
124,favelinha,cating,RII,altura,-0.0171805262
124,favelinha,cating,RII,folha,0.0235603544
125,jupreta,angico,RII,altura,0.7051371624
125,jupreta,angico,RII,folha,0.6833600427
125,jupreta,aroeira,RII,altura,-0.006039916
125,jupreta,aroeira,RII,folha,-0.1614748677
125,jupreta,cating,RII,altura,0.0424347905
125,jupreta,cating,RII,folha,-0.0166666667
126,jupreta,angico,RII,altura,0.5304442441
126,jupreta,angico,RII,folha,0.2583333333
126,jupreta,aroeira,RII,altura,-0.0895913681
126,jupreta,aroeira,RII,folha,0.1951923077
126,jupreta,cating,RII,altura,0.1248090289
126,jupreta,cating,RII,folha,0.1678571429
127,catingueira,angico,RII,altura,-0.1667026955
127,catingueira,angico,RII,folha,-0.1085850397
127,catingueira,aroeira,RII,altura,-0.1556592325
127,catingueira,aroeira,RII,folha,-0.2856072822
127,catingueira,cating,RII,altura,-0.0161872441
127,catingueira,cating,RII,folha,-0.0913961039
128,burra,angico,RII,altura,0.0508881609
128,burra,angico,RII,folha,0.3917366947
128,burra,aroeira,RII,altura,0.0646693494
128,burra,aroeira,RII,folha,0.0274778844
128,burra,cating,RII,altura,0.1351648352
128,burra,cating,RII,folha,0.1336659664
129,pereiro,angico,RII,altura,0.1594929376
129,pereiro,angico,RII,folha,0.5581699346
129,pereiro,aroeira,RII,altura,-0.0326373421
129,pereiro,aroeira,RII,folha,0.1634704969
129,pereiro,cating,RII,altura,0.5624281778
129,pereiro,cating,RII,folha,0.3368055556
130,juca,angico,RII,altura,0.0952307586
130,juca,angico,RII,folha,0.2378393665
130,juca,aroeira,RII,altura,-0.1335533639
130,juca,aroeira,RII,folha,-0.160954583
130,juca,cating,RII,altura,-0.1735910114
130,juca,cating,RII,folha,-0.1366883117
131,catanduva,angico,RII,altura,0.0653618125
131,catanduva,angico,RII,folha,0.0651271999
131,catanduva,aroeira,RII,altura,-0.0848104442
131,catanduva,aroeira,RII,folha,-0.2920075324
131,catanduva,cating,RII,altura,0.0039711733
131,catanduva,cating,RII,folha,-0.0351351351
132,ipe,angico,RII,altura,0.4882041875
132,ipe,angico,RII,folha,0.5305944056
132,ipe,aroeira,RII,altura,0.0436418932
132,ipe,aroeira,RII,folha,0.1851261444
132,ipe,cating,RII,altura,0.1332426346
132,ipe,cating,RII,folha,0.0474358974
134,feijao,angico,RII,altura,0.0803311542
134,feijao,angico,RII,folha,0.0039432789
134,feijao,aroeira,RII,altura,0.031788753
134,feijao,aroeira,RII,folha,0.1693370036
134,feijao,cating,RII,altura,0.3026570049
134,feijao,cating,RII,folha,0.0222222222
136,juca,angico,RII,altura,0.2906483451
136,juca,angico,RII,folha,0.3737179487
136,juca,aroeira,RII,altura,-0.1276438332
136,juca,aroeira,RII,folha,-0.1506168831
136,juca,cating,RII,altura,0.1660744182
136,juca,cating,RII,folha,0.2239357865
137,mofumbo,angico,RII,altura,0.5381535894
137,mofumbo,angico,RII,folha,0.5222039474
137,mofumbo,aroeira,RII,altura,-0.570385763
137,mofumbo,aroeira,RII,folha,-0.6257739938
137,mofumbo,cating,RII,altura,-0.0420814741
137,mofumbo,cating,RII,folha,0
138,favelinha,angico,RII,altura,0.1865142115
138,favelinha,angico,RII,folha,0.3307485323
138,favelinha,aroeira,RII,altura,-0.066678703
138,favelinha,aroeira,RII,folha,-0.0854693552
138,favelinha,cating,RII,altura,-0.1367242464
138,favelinha,cating,RII,folha,-0.1487179487
139,juca,angico,RII,altura,-0.0306563229
139,juca,angico,RII,folha,0.3822032436
139,juca,aroeira,RII,altura,-0.0211920942
139,juca,aroeira,RII,folha,-0.1409947509
139,juca,cating,RII,altura,0.0552091042
139,juca,cating,RII,folha,0.3889880952
141,umbu,angico,RII,altura,-0.0395523555
141,umbu,angico,RII,folha,0.1607142857
141,umbu,aroeira,RII,altura,-0.0612163429
141,umbu,aroeira,RII,folha,-0.1300596616
141,umbu,cating,RII,altura,0.0970075675
141,umbu,cating,RII,folha,0.0956909938
143,umbu,angico,RII,altura,0.0922207275
143,umbu,angico,RII,folha,0.3583065485
143,umbu,aroeira,RII,altura,0.1094834016
143,umbu,aroeira,RII,folha,0.0422031742
143,umbu,cating,RII,altura,0.0219018031
143,umbu,cating,RII,folha,0.1872023809
144,angico,angico,RII,altura,0.2235511146
144,angico,angico,RII,folha,0.1296783626
144,angico,aroeira,RII,altura,0.0204688832
144,angico,aroeira,RII,folha,-0.0741937229
144,angico,cating,RII,altura,0.1562399782
144,angico,cating,RII,folha,0.2895652958
145,juca,angico,RII,altura,0.4981429303
145,juca,angico,RII,folha,0.4687728938
145,juca,aroeira,RII,altura,0.0967761489
145,juca,aroeira,RII,folha,-0.1117784993
145,juca,cating,RII,altura,-0.0681796757
145,juca,cating,RII,folha,-0.4041369048
146,paubranco,angico,RII,altura,0.4980263158
146,paubranco,angico,RII,folha,0.4405172414
146,paubranco,aroeira,RII,altura,0.7515822785
146,paubranco,aroeira,RII,folha,0.8784965035
146,paubranco,cating,RII,altura,-0.3188539531
146,paubranco,cating,RII,folha,-0.3035714286
147,pereiro,angico,RII,altura,0.1038788459
147,pereiro,angico,RII,folha,-0.3919232983
147,pereiro,aroeira,RII,altura,0.1216870599
147,pereiro,aroeira,RII,folha,0.1713342557
147,pereiro,cating,RII,altura,-0.2488279478
147,pereiro,cating,RII,folha,-0.0584608844
148,juca,angico,RII,altura,-0.0040955919
148,juca,angico,RII,folha,-0.1875
148,juca,aroeira,RII,altura,0.1060698782
148,juca,aroeira,RII,folha,-0.2586209113
148,juca,cating,RII,altura,-0.1211351688
148,juca,cating,RII,folha,0.1519589552
149,cumaru,angico,RII,altura,0.7004926971
149,cumaru,angico,RII,folha,0.5411820636
149,cumaru,aroeira,RII,altura,0.0495953281
149,cumaru,aroeira,RII,folha,0.3423505239
149,cumaru,cating,RII,altura,-0.1062725667
149,cumaru,cating,RII,folha,0.1904761905
150,imbiratanha,angico,RII,altura,0.0598800478
150,imbiratanha,angico,RII,folha,0.1174719888
150,imbiratanha,aroeira,RII,altura,-0.1037621983
150,imbiratanha,aroeira,RII,folha,-0.0602777778
150,imbiratanha,cating,RII,altura,-0.0856938144
150,imbiratanha,cating,RII,folha,-0.0834737197
151,imburana,angico,RII,altura,0.063800914
151,imburana,angico,RII,folha,0.0698781291
151,imburana,aroeira,RII,altura,0.0961552022
151,imburana,aroeira,RII,folha,0.1606295878
151,imburana,cating,RII,altura,0.2789868522
151,imburana,cating,RII,folha,0.2366828087
152,mororo,angico,RII,altura,-0.5503623189
152,mororo,angico,RII,folha,-0.5882352941
152,mororo,aroeira,RII,altura,-0.2745945708
152,mororo,aroeira,RII,folha,-0.1017512077
152,mororo,cating,RII,altura,-0.2745655722
152,mororo,cating,RII,folha,-0.097979798
153,favelinha,angico,RII,altura,0.2325876528
153,favelinha,angico,RII,folha,-0.0555783908
153,favelinha,aroeira,RII,altura,-0.0351750908
153,favelinha,aroeira,RII,folha,-0.0829678363
153,favelinha,cating,RII,altura,0.3500499675
153,favelinha,cating,RII,folha,0.0833333334
154,favelinha,angico,RII,altura,-0.0636554622
154,favelinha,angico,RII,folha,0.0070866633
154,favelinha,aroeira,RII,altura,0.142088301
154,favelinha,aroeira,RII,folha,0.0949699416
154,favelinha,cating,RII,altura,0.032400972
154,favelinha,cating,RII,folha,0.2756696429
155,favelinha,angico,RII,altura,0.2408989171
155,favelinha,angico,RII,folha,0.2790404041
155,favelinha,aroeira,RII,altura,0.0236157353
155,favelinha,aroeira,RII,folha,0.0045469024
155,favelinha,cating,RII,altura,0.0729733137
155,favelinha,cating,RII,folha,0.2676144877
156,algodao,angico,RII,altura,-0.0542081818
156,algodao,angico,RII,folha,0.2538832754
156,algodao,aroeira,RII,altura,-0.1253783102
156,algodao,aroeira,RII,folha,-0.0826388889
156,algodao,cating,RII,altura,-0.0908849826
156,algodao,cating,RII,folha,0
157,algodao,angico,RII,altura,0.3472356464
157,algodao,angico,RII,folha,0.3762626263
157,algodao,aroeira,RII,altura,-0.0266250919
157,algodao,aroeira,RII,folha,0.050589364
157,algodao,cating,RII,altura,-0.1741067895
157,algodao,cating,RII,folha,0.120395328
158,umbu,angico,RII,altura,-0.1099237358
158,umbu,angico,RII,folha,0.0558308712
158,umbu,aroeira,RII,altura,0.0537424695
158,umbu,aroeira,RII,folha,-0.0027903256
158,umbu,cating,RII,altura,-0.1771803765
158,umbu,cating,RII,folha,-1.24999871564668E-011
159,imburana,angico,RII,altura,-0.1285191713
159,imburana,angico,RII,folha,0.1826106459
159,imburana,aroeira,RII,altura,-0.0679311245
159,imburana,aroeira,RII,folha,0.0634819324
