id,nurse,angico.a,aroeira.a,cating.a,angico.f,aroeira.f,cating.f
149,cumaru,0.7004926971,0.0495953281,-0.1062725667,0.5411820636,0.3423505239,0.1904761905
150,imbiratanha,0.0598800478,-0.1037621983,-0.0856938144,0.1174719888,-0.0602777778,-0.0834737197
151,imburana,0.063800914,0.0961552022,0.2789868522,0.0698781291,0.1606295878,0.2366828087
152,mororo,-0.5503623189,-0.2745945708,-0.2745655722,-0.5882352941,-0.1017512077,-0.097979798
153,favelinha,0.2325876528,-0.0351750908,0.3500499675,-0.0555783908,-0.0829678363,0.0833333334
154,favelinha,-0.0636554622,0.142088301,0.032400972,0.0070866633,0.0949699416,0.2756696429
155,favelinha,0.2408989171,0.0236157353,0.0729733137,0.2790404041,0.0045469024,0.2676144877
156,algodao,-0.0542081818,-0.1253783102,-0.0908849826,0.2538832754,-0.0826388889,0
157,algodao,0.3472356464,-0.0266250919,-0.1741067895,0.3762626263,0.050589364,0.120395328
158,umbu,-0.1099237358,0.0537424695,-0.1771803765,0.0558308712,-0.0027903256,-1.24999871564668E-011
160,imbiratanha,-0.135287461,0.1094516564,-0.1397470343,-0.1040898618,-0.0089070048,-0.1388888889
